     1→     1→--- Page 1 ---
    63→    63→AanálisedosresultadosdoIdebdeveorientarasaçõespedagógicaspara
    64→    64→A direcionaroplanejamentodeformaestratégica.
    65→    65→B reduziroespaçodedeterminadasáreasdocurrículo.
    66→    66→C dedicarmaioratençãoaconteúdosextracurriculares.
    67→    67→D focalizarodesenvolvimentodehabilidadessocioemocionais.
    68→    68→Árealivre
    69→    69→PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PMD2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025
    70→    70→FORMAÇÃOGERALDOCENTE 3
    71→    71→R02032025 - CIENCIAS_BIOLOGICAS.indb 3 21/08/2025 17:49:44
    72→    72→
    73→    73→--- Page 3 ---
    74→    74→2025
    75→    75→*R020320254*
    76→    76→QUESTÃO05 QUESTÃO06
    77→    77→MotivadopelarevisãodaLei n.12 711/2012,ocorridano Oespaçoescolaréumlugardeconvívio.Neleencontramos
    78→    78→ano de 2023, um professor do Ensino Médio propôs uma nãoapenasasrelaçõesdaspessoascomoconhecimento,
    79→    79→rodadeconversa,utilizandoachargedejornalcomorecurso mastambémoaprendizadodecomoaspessoasserelacionam
    80→    80→mobilizadorparaadiscussãosobreosimpactosdasações entresiecomorestantedomundo.Exatamenteporissoos
    81→    81→afirmativas no sistema educacional brasileiro. A atividade conflitosaparecem,eagestãodaescoladevesabercomo
    82→    82→promoveuareflexãoeacríticasobreosprincípiosdoPlano lidarcomeles.Porreproduziraslógicassociais,encontramos,
    83→    83→NacionaldeEducaçãoemDireitosHumanos(PNEDH),como também na escola, relações que desvalorizam o que é
    84→    84→orespeito àdignidadehumanaeoexercíciodacidadania entendido como contra-hegemônico nas culturas. E isso
    85→    85→democráticanoEstadodeDireito. impactanegativamentenaspessoasnegrasenaspraticantes
    86→    86→dasReligiõesdeMatrizesAfricanas.TalvezossignosdeExue
    87→    87→deOgumsejamboaspistassobrecomolidarcomaescolana
    88→    88→buscadeespaçosmenosopressivos.Essasduasdivindadesdo
    89→    89→panteãoiorubanosãovinculadasaoscaminhos,àcomunicação,
    90→    90→àpolítica,aosconflitose,dealgummodo,àprópriaeducação.
    91→    91→ExueOgumnosensinamqueaconvivêncianãoprecisade
    92→    92→umasuposiçãodequetodasetodospensemdomesmomodo,
    93→    93→desejemdomesmomodo,caminhempelosmesmoscaminhos.
    94→    94→Masensinamqueomundoécriadocoletivamenteeque,entre
    95→    95→conflitoseandanças,devemospreservarasdiferenças.
    96→    96→NASCIMENTO,W.F.Asreligiõesdematrizesafricanas,resistência
    97→    97→econtextoescolar:entreencruzilhadas.In:Memóriasdo
    98→    98→BaobáII.Fortaleza:EditoraUFC,2017(adaptado).
    99→    99→Combasenotextoenasaçõesdeenfrentamentoaoracismo
   100→   100→religiosonoespaçoescolar,écorretoafirmarquea
   101→   101→A abordagemdareligiãoedaculturaiorubanasemsalade
   102→   102→aulapermitequeprofessoreseestudantesreflitamsobreos
   103→   103→efeitosdasviolênciasmateriaisesimbólicasnasociedade.
   104→   104→B apresentação de conteúdos vinculados às religiões de
   105→   105→matrizesafricanaseavalorizaçãododiálogonaresolução
   106→   106→LAERTE.Disponívelem:www1.folha.uol.com.br.Acessoem:12maio2025.
   107→   107→deconflitosnasescolasbuscamumaidentidadecomuma
   108→   108→Aatividadepropostapeloprofessorpossibilitaaoestudante todososestudantes.
   109→   109→C concepçãodoambienteescolarcomoespaçodeconvívio
   110→   110→A reconhecerasaçõesafirmativasprevistasemleidesvinculadas
   111→   111→religioso distancia-se da função social da educação,
   112→   112→doprocessohistóricodeformaçãodopovobrasileiro.
   113→   113→que deve focalizar conhecimentos gerais, formação
   114→   114→B compreenderasaçõesafirmativasprevistasemleicomouma
   115→   115→disciplinarecidadania.
   116→   116→conquistademocráticadecorrentedamobilizaçãosocial.
   117→   117→D utilizaçãodetrechosdamitologiaafricananasaulasde
   118→   118→C constataraneutralidadedosmeiosdecomunicaçãoem
   119→   119→ensinoreligiosocumpreoprescritonaleiquetratado
   120→   120→relaçãoaoracismoestruturaleàsaçõesafirmativas.
   121→   121→ensinodahistóriaiorubanaeindígena.
   122→   122→D entenderodebatesobreasaçõesafirmativascomogarantia
   123→   123→Árealivre
   124→   124→dasuperaçãodadiscriminaçãoracial.
   125→   125→Árealivre
   126→   126→PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PMD2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025
   127→   127→4 FORMAÇÃOGERALDOCENTE
   128→   128→R02032025 - CIENCIAS_BIOLOGICAS.indb 4 21/08/2025 17:49:45
   129→   129→
   130→   130→--- Page 4 ---
   131→   131→2025
   132→   132→*R020320255*
   133→   133→QUESTÃO07
   134→   134→EmOalienista,oprotagonistadatramaéSimãoBacamarte,médicoquefundaaclínicaCasaVerdeparapessoascomdistúrbios
   135→   135→mentais,napequenacidadedeItaguaí.Simãocomeçaatrataraspessoasdacidadequeapresentamsinaisdeloucuraepassaa
   136→   136→buscar,pormeiodeseusestudos,formasdeestabelecerquaiscomportamentosdapopulaçãopodemserconsideradosnormais
   137→   137→ouanormais,oquesetornaumaobsessão.Ahistóriaérelatadaporumnarrador-observadorque,ironicamente,fundamenta
   138→   138→suanarrativanoregistrohistóricodascrônicasdaviladeItaguaí.Comtemáticasdistintas,porémuniversais,oestudantedo
   139→   139→EnsinoMédioéconvidadoaacompanhardepertoasexperiênciasdeSimãoBacamarteesedeparacomdilemasenvolvendo
   140→   140→ciência,ética,exclusãosocial,loucura,imortalidade,entreoutrostemastambémambientadosnocontextodaépocaretratada
   141→   141→porMachadodeAssis.
   142→   142→GuiaDigitaldoPNLDLiterário2021.Disponívelem:www.pnld.nees.ufal.br.Acessoem:15maio2025.
   143→   143→UmgrupodeprofessoresdoEnsinoMédioutilizaaobraOalienistaparadesenvolverumProjetodeVidaquepromovadiscussões
   144→   144→sobresaúdementalebem-estarcoletivonacomunidadeescolar.Essaobrafoiselecionadaporpermitirodesenvolvimentode
   145→   145→propostaspedagógicasque
   146→   146→A estimulemaemissãodelaudospelaequipepsicopedagógicaparasubsidiarintervençõesfeitaspelosprofessores.
   147→   147→B desenvolvamaçõesdeescutaentreosestudantesparaqueelesrelacionemostemasabordadoscomsuasvivências.
   148→   148→C favoreçam críticas à excessiva medicamentalização dos comportamentos incomuns para promover reflexões sobre
   149→   149→éticaprofissional.
   150→   150→D abordemaciênciamédicaporumviésobjetivoparadefinirquaispadrõesdecomportamentosãosocialmenteaceitos.
   151→   151→QUESTÃO08
   152→   152→Aorealizaramatrículaemumaescola,umaestudantede15anoseseuspaissolicitaramàsecretariaacadêmicaousodenome
   153→   153→social,jáquenacertidãodenascimentoconstaumaidentificaçãomasculina.Elesqueriamqueonomesocialfosseusadoem
   154→   154→saladeaulaeemdocumentosinternosdainstituição,comochamada,boletinsecarteirinhaestudantil.Noentanto,adireção,
   155→   155→aotomarciênciadocaso,recusouopedido,alegandoque,semaalteraçãonoregistrocivil,seriaimpossívelatenderàsolicitação.
   156→   156→Diantedocaso,combasenaResoluçãoMECn.1/2018,quetratadousodonomesocial,agestãodeve
   157→   157→A permitirousodonomesocialdemaneirainformal,mantendoosregistrosescolaresinternos.
   158→   158→B convocaroconselhoestudantilparadeliberarsobreocaso,porsetratardeumaquestãointernadaescola.
   159→   159→C acataropedidoquandoonomesocialforoficialmenteretificadonoregistrocivildaestudante.
   160→   160→D atenderaopedidomedianteformalizaçãodasolicitaçãopelosresponsáveislegaisdaestudante.
   161→   161→Árealivre
   162→   162→PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PMD2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025
   163→   163→FORMAÇÃOGERALDOCENTE 5
   164→   164→R02032025 - CIENCIAS_BIOLOGICAS.indb 5 21/08/2025 17:49:45
   165→   165→
   166→   166→--- Page 5 ---
   167→   167→2025
   168→   168→*R020320256*
   169→   169→Textoparaquestões09e10
   170→   170→TEXTO1
   171→   171→OProgramaNacionaldoLivroedoMaterialDidático(PNLD),regulamentadopeloDecreton.12021/2024,quealterao
   172→   172→Decreton.9099/2017,temcomoobjetivosavaliação,aquisiçãoedistribuiçãodemateriaisdidáticosedemaismateriaisde
   173→   173→apoioàpráticaeducativaparatodaaredepúblicadeensinobásicodopaís.Osmateriaisinscritos,avaliados,selecionadose
   174→   174→disponíveisparaaescolhachegamàsescolasparticipantesdoPNLDdeformasistemática,regularegratuita.Asetapasque
   175→   175→compõemoprocessodeavaliaçãoestãoapresentadasaseguir:
   176→   176→Disponívelem:www.gov.br.Acessoem:1ago.2025(adaptado).
   177→   177→Árealivre
   178→   178→PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PMD2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025
   179→   179→6 FORMAÇÃOGERALDOCENTE
   180→   180→R02032025 - CIENCIAS_BIOLOGICAS.indb 6 21/08/2025 17:49:46
   181→   181→
   182→   182→--- Page 6 ---
   183→   183→2025
   184→   184→*R020320257*
   185→   185→TEXTO2
   186→   186→Oslivrosescolaresassumem,conjuntamenteounão,múltiplasfunções:
   187→   187→• Funçãoreferencial:expressaanoçãodequeoslivrosdidáticossãosuportesprivilegiadosdeconteúdos,deconhecimentos
   188→   188→edetécnicas,estandorelacionadosàquiloqueéconsideradoimportanteparadeterminadogruposocial.
   189→   189→• Funçãoinstrumental:olivrodidáticocolocaempráticamétodosdeaprendizagem,propõeexercíciosouatividades
   190→   190→quefacilitamamemorizaçãodeconhecimentos,favoreceaaquisiçãodecompetênciasdisciplinareseaapropriação
   191→   191→dehabilidades.
   192→   192→• Funçãoideológicaecultural:olivrodidáticoafirma-secomoumdosvetoresessenciaisdalíngua,daculturaedosvalores
   193→   193→dasclassesdirigentes.Instrumentoprivilegiadodeconstruçãosimbólicadeidentidade,assumeumimportantepapelpolítico.
   194→   194→• Funçãodocumental:olivrodidáticoforneceumconjuntodedocumentos,textuaisouicônicos,cujaobservaçãoou
   195→   195→confrontaçãopodemdesenvolveroespíritocríticodoaluno.
   196→   196→CHOPPIN,A.Históriadoslivrosedasediçõesdidáticas:sobreoestadodaarte.
   197→   197→EducaçãoePesquisa.set.-dez.2004(adaptado).
   198→   198→QUESTÃO09
   199→   199→ConsiderandooTexto1,oProgramaNacionaldoLivroedoMaterialDidático(PNLD)vemcontribuindopara
   200→   200→A difundirconhecimentossocioculturaisatuaiscombasenaneutralidadequeoprocessodeensinoedeaprendizagemrequer.
   201→   201→B apresentarabordagensdetemassocioculturaisatuaisesensíveisquepossamalteraroprocessodeensinoedeaprendizagem.
   202→   202→C divulgarossaberessocioculturaisatuaiseahistoricidadehumanaparaatenderaosestudantesderegiõesdedifícilacesso.
   203→   203→D abordaroscontextossocioculturaisatuaisconsideradosrelevanteseahistoricidadequeconsolidouaexistênciahumana.
   204→   204→QUESTÃO10
   205→   205→Relacionandoostextos1e2,marqueaalternativaqueapresentaapercepçãodocenteorientadapelafunçãoreferencial
   206→   206→propostaporChoppin(2004).
   207→   207→A “Escolhoumlivroqueapresentetemáticassociaisessenciaiscomreflexõessobreoconteúdodadisciplina”.
   208→   208→B “Prefirooslivroscomsistematizaçãocoerentedosobjetosdeconhecimentodadisciplinaetransposiçãodidáticaadequada”.
   209→   209→C “Consideroadequadososlivrosqueexpressamconceitospormeiodeelementosvariados,comoimagens,palavras,mapas
   210→   210→egráficos”.
   211→   211→D “Levoemconsideraçãolivrosqueapresentemanormacultadalínguaevaloressociaispredominantesnosconteúdos
   212→   212→apresentados”.
   213→   213→Árealivre
   214→   214→PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PMD2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025
   215→   215→FORMAÇÃOGERALDOCENTE 7
   216→   216→R02032025 - CIENCIAS_BIOLOGICAS.indb 7 21/08/2025 17:49:46
   217→   217→
   218→   218→--- Page 7 ---
   219→   219→2025
   220→   220→*R020320258*
   221→   221→Textoparaquestões11e12
   222→   222→TEXTO1
   223→   223→Asquestõesambientaissãoumtemadepreocupaçãosocial,econômicaepolíticaqueperpassamaescola.Elasaparecemna
   224→   224→esferapolíticaquandoogovernofederalreconheceaimportânciadesediaremBelém,noPará,a30ªConferênciadasNações
   225→   225→UnidassobreMudançasClimáticas(COP30).Oeventotraráumolharglobalsobreassoluçõesparaosdesafiosdoclima.Éurgente
   226→   226→queabordemos,deformaabrangenteesinérgica,ascrisesglobaisinterligadasàmudançadoclimaeàperdadebiodiversidade
   227→   227→nocontextomaisamplodarealizaçãodosObjetivosdeDesenvolvimentoSustentável(ODS).Aofazerisso,devemoscontinuar
   228→   228→reconhecendoeexpandindoopapeleascontribuiçõesdospovosindígenasedascomunidadeslocaisnaadministraçãodanatureza
   229→   229→enaliderançaclimática,aomesmotempoquereconhecemososefeitosdesproporcionaisqueelessofremcomamudançadoclima.
   230→   230→Disponívelem:www.cop30.br.Acessoem:1ago.2025(adaptado).
   231→   231→TEXTO2
   232→   232→Chuvaácida
   233→   233→Enquantoserhumanoeuvoudestruindooqueposso
   234→   234→Oelevadoraquisódesce,odemônioémeusócio
   235→   235→Abriram,uh,acaixadePandora
   236→   236→Simondiz:saiamagora
   237→   237→Achuvaespalhando,todososmales
   238→   238→Aiai,uiui,aicomoissoarde
   239→   239→Ébateriadecelulares,césio,similares
   240→   240→Apesteinvisívelmaculandoosares
   241→   241→Mercúrionosrios,dieselnosmares
   242→   242→soloestéril,jáfizeramsuaparte(uh)
   243→   243→CRIOLO.Disponívelem:www.letras.mus.br.Acessoem:1ago.2025(adaptado).
   244→   244→QUESTÃO11
   245→   245→Umaprofessoraorganizaumconjuntodeaçõesparadiscussãocríticadeaspectosrelacionadosàsquestõesambientaisabordadas
   246→   246→nostextos1e2.Paraisso,elaplanejaatividadescomo
   247→   247→A palestrascomrappersnaescola;elistagemdosobjetivosdaCOP30noquadro.
   248→   248→B leituracoletivadostextos;efichamentodasideiascentraisesecundáriasdaletradacanção.
   249→   249→C interpretaçãodaletradacanção;epesquisasobreaçõesquecontribuemcomapreservaçãodanatureza.
   250→   250→D registrodosObjetivosdeDesenvolvimentoSustentável(ODS)nocaderno;econsultadetermostécnicosemdicionários.
   251→   251→QUESTÃO12
   252→   252→Considerequeessaprofessoraatuaemumaescolalocalizadaemumcentrourbanoequertrabalharcomsuasturmassobuma
   253→   253→perspectivafreireana.Quaisatividadeseladeveproporaosestudantesparacontemplarastemáticasapresentadasnostextos1e2?
   254→   254→A 1.realizarumlevantamentodoentornoescolar,problematizandoquestõesambientaisdacomunidade;2.utilizarconceitos
   255→   255→escolaresqueajudamacompreenderotema;3.aplicarosconhecimentosaprendidospreviamente,considerandoumaanálise
   256→   256→críticadasideiasdebatidasnaCOP30enorapChuvaÁcida.
   257→   257→B 1.apresentarumvídeoquemostreosgruposdetrabalhoeosobjetivosdaCOP30;2.utilizarummodelodeestufadeplantasa
   258→   258→fimdeestudarociclohidrológico;3.aplicaratividadesqueajudemosestudantesafixaroconhecimentodatemáticaabordada
   259→   259→naletradecanção.
   260→   260→C 1.realizarumlevantamentopréviodasideiasdosestudantessobreosproblemasambientaistrazidosnorapChuvaÁcida;
   261→   261→2.organizarossubsunçoresquecontribuemparaestudarotema;3.promoverumaexposiçãodecartazesparaacomunidade
   262→   262→considerandoassoluçõesmitigadasnaCOP30.
   263→   263→D 1.apresentarovídeodorapChuvaÁcidaabordandoosassuntossobremudançasclimáticas;2.organizaraZonade
   264→   264→DesenvolvimentoProximal,problematizandoainteraçãoentreosestudantesquesabemmaissobreotema;3.preparar
   265→   265→umaexposiçãoapresentandoassoluçõesmitigadasnaCOP30.
   266→   266→Árealivre
   267→   267→PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PMD2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025
   268→   268→8 FORMAÇÃOGERALDOCENTE
   269→   269→R02032025 - CIENCIAS_BIOLOGICAS.indb 8 21/08/2025 17:49:46
   270→   270→
   271→   271→--- Page 8 ---
   272→   272→2025
   273→   273→*R020320259*
   274→   274→Textoparaquestões13e14
   275→   275→EmumaturmadeEducaçãodeJovenseAdultos(EJA),umprofessordeHistóriaelicenciandosdoEstágioSupervisionado
   276→   276→sentiramdificuldadesemdesenvolverasatividadesplanejadasnaaula,poisosestudantesestavamdispersos,desanimados
   277→   277→e afirmavam estar cansados da jornada de trabalho. Buscando motivar a turma, o professor-supervisor e os estagiários
   278→   278→solicitaramaosestudantesquerelatassemseuscotidianosprofissionais.Identificou-sequeasprofissõesdemotoristade
   279→   279→aplicativoedeentregadorautônomoeramasmaisexercidas.Alémdisso,oprofessorrealizoureflexõescomaturmasobre
   280→   280→asmudançasnomundodotrabalhoaolongodotempoesuasrelaçõessociaiseeconômicas.Duranteointervalo,oprofessor
   281→   281→compartilhouaexperiênciacomascolegasdocentesdeLínguaPortuguesaedeMatemáticaquedecidiramreadequarseus
   282→   282→planejamentosparaexploraromundodotrabalhoemsuasaulas.AprofessoradeLínguaPortuguesaelaborou,coletivamente
   283→   283→comaturma,umpequenotextosobreasdificuldadesenfrentadasnocontextodetrabalhoeasexpectativasemrelaçãoao
   284→   284→futuroprofissional.Porsuavez,aprofessoradeMatemáticatratoudasunidadesdemedidaedoconceitodeproporção,
   285→   285→abordandoproblemascomcálculosqueenvolviamquantidades,distânciaseporcentagemrelativosaoconsumodecombustível
   286→   286→eaoutrositensutilizadosnocampoprofissionaldosestudantes.Nasemanaseguinte,comoatividadeavaliativadoEstágio
   287→   287→Supervisionado,oprofessor-supervisorsolicitouaosestagiáriosaelaboraçãodeumapropostadeintervençãobaseadana
   288→   288→situaçãovivenciadaemsaladeaula.
   289→   289→QUESTÃO13
   290→   290→Considerandoocontextoapresentado,asaçõespedagógicasdesenvolvidaspelosprofessores
   291→   291→A priorizamosconteúdosdisciplinaresespecíficoscomoestratégiamotivadoraeducacional.
   292→   292→B favorecemaexperiênciadeestudantes,enfatizandosaberesdeumaáreadeconhecimento.
   293→   293→C incentivamavalorizaçãodomundodotrabalhocombaseemmetodologiasdeensinoinovadoras.
   294→   294→D integramasvivênciasdosestudantesaocurrículo,promovendoreflexõessobreomundodotrabalho.
   295→   295→QUESTÃO14
   296→   296→Nocontextorelatado,oEstágioSupervisionadoéconcebidocomoespaçode
   297→   297→A formaçãopedagógicaqueconsideraopapeldoprofessor-supervisorcomocoformador.
   298→   298→B interaçãoentreprofessor-supervisoreestagiáriosparaaaquisiçãodosconteúdoscurriculares.
   299→   299→C aquisiçãodenovastecnologiaspeloprofessor-supervisorparaaaplicaçãoemsaladeaula.
   300→   300→D aplicaçãodeconhecimentosteórico-metodológicosdoprofessor-supervisornocotidianoescolar.
   301→   301→Árealivre
   302→   302→PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PMD2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025
   303→   303→FORMAÇÃOGERALDOCENTE 9
   304→   304→R02032025 - CIENCIAS_BIOLOGICAS.indb 9 21/08/2025 17:49:46
   305→   305→
   306→   306→--- Page 9 ---
   307→   307→2025
   308→   308→*R0203202510*
   309→   309→QUESTÃO15
   310→   310→Oacessoàinterneteaosrecursostecnológicos,comodispositivosmóveiseoutros,vemcrescendonaatualidade,impactando
   311→   311→ossistemaseducacionaisnoBrasilenomundo.Comisso,ousodeMetodologiasAtivasfoiintensificado,visandoatenderàs
   312→   312→diferentesdemandasdacomunidadeescolar.Muitasdessasmetodologiassãoimplementadasviaplataformasdigitais,excluindo
   313→   313→umaparcelaconsideráveldeestudantesquenãotêmacessoataisplataformasdevidoadesigualdadessociais,conforme
   314→   314→apontamdadosdoInstitutoBrasileirodeGeografiaeEstatística(IBGE).Osdadosindicamquecercade60%daspessoasnão
   315→   315→possuemacessoàinternetdevidoaosaltoscustosdosserviçosedosequipamentos.
   316→   316→IBGE.PesquisaNacionalporAmostradeDomicíliosContínua.RiodeJaneiro:IBGE,2023(adaptado).
   317→   317→Nessecontexto,umaatividadedeensinoqueutilizeMetodologiasAtivasnaEducaçãoBásicaparaminimizaraexclusãonasala
   318→   318→deaulaé
   319→   319→A umaaulaexpositivarealizadapeloprofessorqueabordeotemadetecnologias,seguidadeexercíciosdemúltiplaescolha.
   320→   320→B jogosdesplugadosproduzidospelosestudantes,seguidosdasocializaçãodasaprendizagensemumaplenária.
